ville,lien,Population,Densité de population,Nombre de ménages,Habitants par ménage,Nombre de familles,Naissances,Décès,Solde naturel,Hommes,Femmes,Moins de 15 ans,15 - 29 ans,30 - 44 ans,45 - 59 ans,60 - 74 ans,75 ans et plus,Familles monoparentales,Couples sans enfant,Couples avec enfant,Familles sans enfant,Familles avec un enfant,Familles avec deux enfants,Familles avec trois enfants,Familles avec quatre enfants ou plus,Personnes célibataires,Personnes mariées,Personnes divorcées,Personnes veuves,Personnes en concubinage,Personnes pacsées,Population étrangère,Hommes étrangers,Femmes étrangères,Moins de 15 ans étrangers,15-24 ans étrangers,25-54 ans étrangers,55 ans et plus étrangers,Population immigrée,Hommes immigrés,Femmes immigrées,Moins de 15 ans immigrés,15-24 ans immigrés,25-54 ans immigrés,55 ans et plus immigrés,Nombre d'habitants (2006),Nombre d'habitants (2007),Nombre d'habitants (2008),Nombre d'habitants (2009),Nombre d'habitants (2010),Nombre d'habitants (2011),Nombre d'habitants (2012),Nombre d'habitants (2013),Nombre d'habitants (2014),Nombre d'habitants (2015),Nombre d'habitants (2016),Nombre d'habitants (2017),Nombre d'habitants (2018),Nombre de naissances (1999),Nombre de naissances (2000),Nombre de naissances (2001),Nombre de naissances (2002),Nombre de naissances (2003),Nombre de naissances (2004),Nombre de naissances (2005),Nombre de naissances (2006),Nombre de naissances (2007),Nombre de naissances (2008),Nombre de naissances (2009),Nombre de naissances (2010),Nombre de naissances (2011),Nombre de naissances (2012),Nombre de naissances (2013),Nombre de naissances (2014),Nombre de naissances (2015),Nombre de naissances (2016),Nombre de naissances (2017),Nombre de naissances (2018),Nombre de décès (1999),Nombre de décès (2000),Nombre de décès (2001),Nombre de décès (2002),Nombre de décès (2003),Nombre de décès (2004),Nombre de décès (2005),Nombre de décès (2006),Nombre de décès (2007),Nombre de décès (2008),Nombre de décès (2009),Nombre de décès (2010),Nombre de décès (2011),Nombre de décès (2012),Nombre de décès (2013),Nombre de décès (2014),Nombre de décès (2015),Nombre de décès (2016),Nombre de décès (2017),Nombre de décès (2018),Nombre d'étrangers (2006),Nombre d'étrangers (2007),Nombre d'étrangers (2008),Nombre d'étrangers (2009),Nombre d'étrangers (2010),Nombre d'étrangers (2011),Nombre d'étrangers (2012),Nombre d'étrangers (2013),Nombre d'étrangers (2014),Nombre d'étrangers (2015),Nombre d'étrangers (2016),Nombre d'étrangers (2017),Nombre d'immigrés (2006),Nombre d'immigrés (2007),Nombre d'immigrés (2008),Nombre d'immigrés (2009),Nombre d'immigrés (2010),Nombre d'immigrés (2011),Nombre d'immigrés (2012),Nombre d'immigrés (2013),Nombre d'immigrés (2014),Nombre d'immigrés (2015),Nombre d'immigrés (2016),Nombre d'immigrés (2017)
Les Abymes (97139),/management/ville/les-abymes/ville-97101,53082.0,653.0,24120.0,2.2,14603.0,824.0,510.0,314.0,23311.0,30180.0,10484.0,9960.0,9151.0,11459.0,8047.0,3794.0,7366.0,3226.0,4011.0,5630.0,4677.0,2804.0,1083.0,410.0,22888.0,11634.0,2370.0,2182.0,3632.0,300.0,4037.0,1513.0,2524.0,1133.0,252.0,1870.0,782.0,3797.0,1287.0,2510.0,136.0,304.0,2213.0,1144.0,60053.0,59404.0,59270.0,58836.0,58534.0,59311.0,58606.0,57960.0,56001.0,55306.0,54260.0,53491.0,53082.0,1066.0,1052.0,1057.0,970.0,950.0,1013.0,1084.0,997.0,975.0,941.0,904.0,874.0,837.0,854.0,845.0,798.0,733.0,717.0,713.0,689.0,344.0,343.0,366.0,339.0,357.0,352.0,381.0,382.0,395.0,376.0,402.0,425.0,386.0,397.0,393.0,448.0,408.0,450.0,413.0,465.0,3384.0,3343.0,3280.0,3497.0,3361.0,3738.0,3833.0,3877.0,3697.0,3989.0,3998.0,4037.0,3159.0,3410.0,3383.0,3572.0,3477.0,3635.0,3513.0,3514.0,3401.0,3637.0,3666.0,3797.0
Lamentin (97129),/management/ville/lamentin/ville-97115,16536.0,252.0,6948.0,2.4,4812.0,245.0,126.0,119.0,7400.0,9173.0,3465.0,2966.0,3037.0,3788.0,2289.0,897.0,1961.0,1210.0,1640.0,1776.0,1569.0,1019.0,308.0,139.0,5678.0,4440.0,731.0,631.0,1476.0,151.0,531.0,241.0,290.0,128.0,40.0,241.0,122.0,618.0,270.0,348.0,5.0,57.0,355.0,201.0,15738.0,15785.0,15831.0,15866.0,15913.0,15486.0,15624.0,15897.0,15958.0,16139.0,16687.0,16573.0,16536.0,274.0,390.0,386.0,311.0,164.0,245.0,192.0,153.0,133.0,141.0,141.0,195.0,214.0,190.0,219.0,228.0,208.0,206.0,184.0,203.0,82.0,97.0,86.0,87.0,81.0,100.0,103.0,76.0,98.0,93.0,87.0,106.0,91.0,101.0,115.0,121.0,128.0,112.0,118.0,113.0,454.0,465.0,443.0,471.0,539.0,521.0,527.0,541.0,562.0,569.0,565.0,531.0,453.0,482.0,474.0,473.0,518.0,511.0,524.0,548.0,590.0,624.0,631.0,618.0
Petit-Canal (97131),/management/ville/petit-canal/ville-97119,8212.0,116.0,3321.0,2.5,2214.0,79.0,66.0,13.0,3980.0,4240.0,1550.0,1403.0,1497.0,1936.0,1296.0,474.0,760.0,488.0,966.0,800.0,649.0,513.0,201.0,50.0,2840.0,2476.0,400.0,337.0,578.0,39.0,245.0,117.0,128.0,65.0,26.0,132.0,22.0,259.0,119.0,140.0,17.0,32.0,168.0,42.0,8180.0,8243.0,8177.0,8107.0,8038.0,8022.0,8005.0,8057.0,8112.0,8167.0,8194.0,8220.0,8212.0,136.0,142.0,117.0,131.0,115.0,113.0,132.0,108.0,106.0,102.0,105.0,83.0,109.0,74.0,77.0,86.0,76.0,96.0,55.0,58.0,49.0,34.0,55.0,53.0,55.0,59.0,56.0,54.0,47.0,53.0,58.0,58.0,51.0,50.0,64.0,71.0,45.0,59.0,60.0,61.0,184.0,185.0,186.0,184.0,183.0,183.0,183.0,243.0,244.0,245.0,245.0,245.0,194.0,195.0,176.0,175.0,174.0,174.0,174.0,256.0,257.0,258.0,258.0,259.0
Le Moule (97160),/management/ville/le-moule/ville-97117,22315.0,269.0,9483.0,2.3,6118.0,247.0,212.0,35.0,10356.0,11794.0,4358.0,3292.0,3711.0,5292.0,3721.0,1527.0,2306.0,1620.0,2192.0,2463.0,1764.0,1349.0,372.0,170.0,7515.0,6144.0,1280.0,1044.0,1676.0,134.0,,,,,,,,952.0,355.0,597.0,45.0,90.0,585.0,232.0,21027.0,21318.0,21347.0,21777.0,22381.0,22533.0,22689.0,22456.0,22101.0,22329.0,22435.0,22150.0,22315.0,318.0,344.0,349.0,301.0,328.0,333.0,297.0,316.0,307.0,308.0,285.0,291.0,252.0,266.0,278.0,284.0,249.0,253.0,240.0,241.0,126.0,132.0,154.0,164.0,151.0,139.0,165.0,162.0,144.0,178.0,165.0,190.0,186.0,186.0,177.0,202.0,171.0,191.0,216.0,216.0,,,,,,,,,,,,,600.0,660.0,633.0,702.0,669.0,698.0,708.0,742.0,765.0,918.0,939.0,952.0
Morne-à-l'Eau (97111),/management/ville/morne-a-l-eau/ville-97116,16875.0,262.0,7539.0,2.3,5014.0,162.0,158.0,4.0,7964.0,9470.0,3244.0,2827.0,2660.0,4050.0,3030.0,1374.0,2136.0,1329.0,1548.0,2147.0,1328.0,1088.0,352.0,99.0,6307.0,4880.0,1066.0,869.0,960.0,108.0,573.0,209.0,364.0,157.0,30.0,294.0,92.0,532.0,179.0,353.0,15.0,41.0,344.0,132.0,16703.0,16875.0,17043.0,17057.0,16725.0,16767.0,16959.0,17046.0,17225.0,17407.0,17288.0,17434.0,16875.0,242.0,255.0,285.0,249.0,248.0,225.0,247.0,220.0,253.0,216.0,191.0,203.0,215.0,210.0,185.0,202.0,190.0,200.0,154.0,181.0,123.0,133.0,128.0,147.0,120.0,103.0,153.0,131.0,132.0,119.0,127.0,138.0,145.0,133.0,124.0,125.0,129.0,168.0,147.0,140.0,377.0,400.0,438.0,403.0,384.0,439.0,469.0,490.0,509.0,553.0,568.0,573.0,376.0,401.0,435.0,417.0,372.0,384.0,391.0,387.0,414.0,466.0,510.0,532.0
Saint-François (97118),/management/ville/saint-francois/ville-97125,12348.0,202.0,5393.0,2.4,3629.0,179.0,116.0,63.0,6042.0,6774.0,2589.0,1991.0,2398.0,3048.0,2084.0,665.0,1215.0,1051.0,1363.0,1509.0,956.0,810.0,245.0,109.0,3993.0,3690.0,757.0,418.0,1153.0,215.0,780.0,353.0,427.0,277.0,65.0,348.0,90.0,675.0,245.0,430.0,27.0,60.0,424.0,164.0,13424.0,13886.0,14149.0,14369.0,14797.0,14953.0,14797.0,14780.0,14434.0,13841.0,13095.0,12816.0,12348.0,214.0,215.0,209.0,233.0,224.0,237.0,244.0,254.0,221.0,200.0,220.0,201.0,199.0,182.0,161.0,168.0,173.0,158.0,154.0,161.0,52.0,71.0,63.0,58.0,62.0,64.0,76.0,77.0,84.0,91.0,85.0,82.0,78.0,78.0,87.0,112.0,80.0,131.0,82.0,113.0,575.0,587.0,479.0,514.0,591.0,679.0,669.0,732.0,853.0,846.0,754.0,780.0,568.0,605.0,533.0,542.0,583.0,597.0,558.0,595.0,694.0,694.0,650.0,675.0
Pointe-Noire (97116),/management/ville/pointe-noire/ville-97121,6069.0,102.0,2797.0,2.2,1719.0,44.0,81.0,-37.0,2954.0,3153.0,884.0,844.0,814.0,1570.0,1269.0,626.0,737.0,473.0,509.0,839.0,463.0,249.0,117.0,51.0,2339.0,1784.0,290.0,426.0,346.0,39.0,51.0,25.0,26.0,7.0,5.0,23.0,16.0,56.0,22.0,34.0,4.0,5.0,30.0,17.0,7149.0,7115.0,7086.0,7056.0,7006.0,6957.0,6785.0,6594.0,6403.0,6280.0,6159.0,6107.0,6069.0,134.0,128.0,103.0,112.0,103.0,87.0,87.0,94.0,87.0,78.0,77.0,72.0,68.0,68.0,66.0,71.0,54.0,58.0,45.0,59.0,68.0,56.0,65.0,63.0,52.0,52.0,58.0,75.0,72.0,74.0,62.0,60.0,67.0,66.0,73.0,75.0,74.0,71.0,81.0,64.0,47.0,43.0,43.0,43.0,43.0,43.0,74.0,71.0,70.0,70.0,68.0,51.0,41.0,55.0,55.0,55.0,55.0,55.0,72.0,71.0,69.0,69.0,67.0,56.0
Bouillante (97125),/management/ville/bouillante/ville-97106,6935.0,160.0,3055.0,2.3,1865.0,49.0,83.0,-34.0,3266.0,3758.0,1188.0,1036.0,996.0,1795.0,1250.0,646.0,665.0,570.0,630.0,870.0,495.0,330.0,115.0,55.0,2626.0,1942.0,288.0,391.0,517.0,72.0,69.0,30.0,39.0,5.0,5.0,41.0,18.0,90.0,38.0,52.0,3.0,5.0,58.0,24.0,7511.0,7536.0,7556.0,7576.0,7545.0,7513.0,7481.0,7446.0,7412.0,7282.0,7153.0,7024.0,6935.0,122.0,124.0,134.0,109.0,118.0,108.0,100.0,117.0,96.0,125.0,97.0,85.0,92.0,86.0,108.0,82.0,66.0,66.0,55.0,52.0,47.0,44.0,49.0,70.0,54.0,46.0,55.0,52.0,51.0,60.0,74.0,64.0,56.0,65.0,38.0,72.0,73.0,72.0,74.0,78.0,51.0,51.0,51.0,51.0,52.0,53.0,53.0,53.0,53.0,71.0,70.0,69.0,56.0,56.0,56.0,56.0,63.0,63.0,64.0,64.0,64.0,93.0,91.0,90.0
Port-Louis (97117),/management/ville/port-louis/ville-97122,5635.0,127.0,2583.0,2.2,1555.0,70.0,59.0,11.0,2654.0,3050.0,1009.0,908.0,936.0,1308.0,1051.0,420.0,735.0,365.0,456.0,653.0,481.0,294.0,76.0,51.0,2376.0,1421.0,266.0,283.0,309.0,40.0,379.0,177.0,202.0,49.0,22.0,220.0,88.0,392.0,179.0,213.0,21.0,23.0,243.0,105.0,5481.0,5466.0,5451.0,5436.0,5440.0,5541.0,5646.0,5751.0,5795.0,5840.0,5772.0,5704.0,5635.0,82.0,89.0,84.0,72.0,68.0,59.0,79.0,90.0,72.0,81.0,68.0,74.0,58.0,59.0,67.0,81.0,51.0,63.0,62.0,64.0,43.0,46.0,52.0,36.0,52.0,38.0,46.0,47.0,45.0,52.0,53.0,59.0,49.0,50.0,41.0,63.0,48.0,61.0,56.0,67.0,76.0,76.0,76.0,76.0,77.0,113.0,97.0,97.0,97.0,97.0,384.0,379.0,94.0,94.0,94.0,94.0,97.0,120.0,110.0,112.0,112.0,113.0,396.0,392.0
Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118,24522.0,189.0,10253.0,2.4,7000.0,313.0,155.0,158.0,11414.0,12863.0,5108.0,3785.0,4783.0,5711.0,3462.0,1243.0,2431.0,1913.0,2656.0,2781.0,2054.0,1509.0,452.0,205.0,7719.0,6807.0,1147.0,823.0,2307.0,366.0,824.0,360.0,464.0,204.0,41.0,393.0,186.0,881.0,347.0,534.0,25.0,51.0,527.0,278.0,21153.0,21283.0,22171.0,22499.0,23199.0,23729.0,23782.0,24039.0,23994.0,24086.0,24211.0,24277.0,24522.0,321.0,358.0,359.0,322.0,373.0,337.0,352.0,327.0,334.0,359.0,338.0,320.0,341.0,336.0,318.0,322.0,307.0,306.0,289.0,268.0,108.0,115.0,90.0,135.0,118.0,105.0,124.0,137.0,117.0,125.0,128.0,153.0,142.0,147.0,151.0,161.0,137.0,174.0,160.0,151.0,807.0,786.0,748.0,760.0,678.0,740.0,810.0,872.0,843.0,918.0,898.0,824.0,760.0,796.0,836.0,914.0,925.0,965.0,1016.0,996.0,940.0,924.0,925.0,881.0
