ville,lien,Allocataires CAF,Bénéficiaires du RSA, - bénéficiaires du RSA majoré, - bénéficiaires du RSA socle,Bénéficiaires de l'aide au logement, - bénéficiaires de l'APL (aide personnalisée au logement), - bénéficiaires de l'ALF (allocation de logement à caractère familial), - bénéficiaires de l'ALS (allocation de logement à caractère social), - bénéficiaires de l'Allocation pour une location immobilière, - bénéficiaires de l'Allocation pour un achat immobilier,Bénéficiaires des allocations familiales, - bénéficiaires du complément familial, - bénéficiaires de l'allocation de soutien familial, - bénéficiaires de l'allocation de rentrée scolaire,Médecins généralistes,Masseurs-kinésithérapeutes,Infirmiers,Spécialistes ORL,Ophtalmologistes,Dermatologues,Sage-femmes,Pédiatres,Gynécologues,Pharmacies,Urgences,Ambulances,Etablissements de santé de court séjour,Etablissements de santé de moyen séjour,Etablissements de santé de long séjour,Etablissement d'accueil du jeune enfant,Maisons de retraite,Etablissements pour enfants handicapés,Etablissements pour adultes handicapés,Bénéficiaires de la PAJE, - bénéficiaires de l'allocation de base, - bénéficiaires du complément mode de garde pour une assistante maternelle, - bénéficiaires du complément de libre choix d'activité (CLCA ou COLCA), - bénéficiaires de la prime naissance ou adoption,Nombre d'allocataires CAF (2009),Nombre d'allocataires CAF (2010),Nombre d'allocataires CAF (2011),Nombre d'allocataires CAF (2012),Nombre d'allocataires CAF (2013),Nombre d'allocataires CAF (2014),Nombre d'allocataires CAF (2015),Nombre d'allocataires CAF (2016),Nombre d'allocataires CAF (2017),Nombre de bénéficiaires RSA (2011),Nombre de bénéficiaires RSA (2012),Nombre de bénéficiaires RSA (2013),Nombre de bénéficiaires RSA (2014),Nombre de bénéficiaires RSA (2015),Nombre de bénéficiaires RSA (2016),Nombre de bénéficiaires RSA (2017),Nombre de bénéficiaires APL (2009),Nombre de bénéficiaires APL (2010),Nombre de bénéficiaires APL (2011),Nombre de bénéficiaires APL (2012),Nombre de bénéficiaires APL (2013),Nombre de bénéficiaires APL (2014),Nombre de bénéficiaires APL (2015),Nombre de bénéficiaires APL (2016),Nombre de bénéficiaires APL (2017),Nombre de bénéficiaires des allocations familiales (2009),Nombre de bénéficiaires des allocations familiales (2010),Nombre de bénéficiaires des allocations familiales (2011),Nombre de bénéficiaires des allocations familiales (2012),Nombre de bénéficiaires des allocations familiales (2013),Nombre de bénéficiaires des allocations familiales (2014),Nombre de bénéficiaires des allocations familiales (2015),Nombre de bénéficiaires des allocations familiales (2016),Nombre de bénéficiaires des allocations familiales (2017),Nombre de bénéficiaires des allocations familiales (2018)
Pointe-à-Pitre (97110),/management/ville/pointe-a-pitre/ville-97120,6433.0,2576.0,303.0,2273.0,4429.0,,,2778.0,4415.0,14.0,2220.0,312.0,1198.0,1565.0,31.0,40.0,148.0,2.0,7.0,2.0,4.0,6.0,10.0,22.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,500.0,495.0,26.0,6.0,20.0,6543.0,6464.0,6282.0,6272.0,6492.0,6514.0,6503.0,6525.0,6433.0,2396.0,2602.0,2808.0,2942.0,3051.0,2663.0,2576.0,4438.0,4443.0,4394.0,4389.0,4628.0,4726.0,4722.0,4624.0,4429.0,2568.0,2520.0,2391.0,2370.0,2369.0,2371.0,2317.0,2270.0,2235.0,2220.0
Saint-Claude (97120),/management/ville/saint-claude/ville-97124,2439.0,654.0,61.0,593.0,938.0,,446.0,536.0,912.0,26.0,1198.0,127.0,332.0,584.0,4.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,207.0,179.0,42.0,5.0,6.0,2085.0,2130.0,2169.0,2275.0,2279.0,2277.0,2269.0,2320.0,2439.0,761.0,812.0,856.0,867.0,891.0,677.0,654.0,777.0,817.0,815.0,882.0,887.0,945.0,962.0,943.0,938.0,1183.0,1198.0,1168.0,1173.0,1157.0,1132.0,1080.0,1054.0,1156.0,1198.0
Saint-François (97118),/management/ville/saint-francois/ville-97125,3826.0,1472.0,171.0,1301.0,1288.0,,740.0,,1221.0,67.0,2100.0,214.0,589.0,1247.0,18.0,30.0,57.0,0.0,0.0,1.0,3.0,2.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,383.0,366.0,50.0,19.0,6.0,3554.0,3597.0,3626.0,3662.0,3707.0,3695.0,3695.0,3742.0,3826.0,1390.0,1450.0,1589.0,1612.0,1701.0,1456.0,1472.0,1282.0,1335.0,1389.0,1352.0,1375.0,1398.0,1367.0,1315.0,1288.0,2223.0,2230.0,2230.0,2190.0,2152.0,2122.0,2086.0,2007.0,2049.0,2100.0
Port-Louis (97117),/management/ville/port-louis/ville-97122,1655.0,694.0,80.0,614.0,641.0,,413.0,,573.0,68.0,789.0,100.0,374.0,550.0,5.0,4.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,169.0,170.0,6.0,6.0,7.0,1430.0,1482.0,1467.0,1510.0,1560.0,1573.0,1565.0,1600.0,1655.0,675.0,706.0,757.0,806.0,814.0,692.0,694.0,567.0,602.0,610.0,619.0,654.0,644.0,661.0,658.0,641.0,810.0,840.0,817.0,832.0,837.0,814.0,793.0,798.0,829.0,789.0
Saint-Louis (97134),/management/ville/saint-louis/ville-97126,603.0,234.0,36.0,198.0,188.0,,113.0,,166.0,22.0,284.0,31.0,124.0,208.0,2.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,60.0,6.0,5.0,,505.0,512.0,528.0,537.0,530.0,535.0,532.0,584.0,603.0,220.0,257.0,270.0,277.0,285.0,242.0,234.0,100.0,103.0,120.0,125.0,128.0,141.0,142.0,153.0,188.0,293.0,281.0,284.0,273.0,264.0,271.0,263.0,285.0,296.0,284.0
Terre-de-Bas (97136),/management/ville/terre-de-bas/ville-97130,146.0,71.0,5.0,75.0,12.0,,8.0,,12.0,5.0,56.0,7.0,10.0,38.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,167.0,162.0,161.0,162.0,156.0,149.0,141.0,147.0,146.0,70.0,77.0,86.0,83.0,87.0,77.0,71.0,16.0,17.0,15.0,12.0,14.0,13.0,11.0,12.0,12.0,86.0,85.0,83.0,79.0,67.0,61.0,60.0,58.0,61.0,56.0
Sainte-Rose (97115),/management/ville/sainte-rose/ville-97129,4835.0,1923.0,219.0,1704.0,1501.0,,955.0,,1321.0,180.0,2547.0,241.0,942.0,1603.0,9.0,16.0,68.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,406.0,394.0,37.0,13.0,9.0,4710.0,4738.0,4783.0,4806.0,4860.0,4843.0,4832.0,4871.0,4835.0,1968.0,2124.0,2268.0,2368.0,2379.0,1953.0,1923.0,1533.0,1614.0,1635.0,1623.0,1653.0,1658.0,1656.0,1564.0,1501.0,3086.0,3052.0,2991.0,2968.0,2941.0,2849.0,2768.0,2646.0,2588.0,2547.0
Terre-de-Haut (97137),/management/ville/terre-de-haut/ville-97131,379.0,115.0,7.0,107.0,89.0,,48.0,,,,171.0,18.0,22.0,104.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,,6.0,6.0,,349.0,349.0,360.0,369.0,381.0,377.0,372.0,381.0,379.0,130.0,134.0,156.0,144.0,150.0,114.0,115.0,74.0,75.0,84.0,85.0,94.0,106.0,112.0,100.0,89.0,214.0,204.0,206.0,206.0,206.0,198.0,198.0,181.0,184.0,171.0
Trois-Rivières (97114),/management/ville/trois-rivieres/ville-97132,2215.0,886.0,101.0,785.0,634.0,,411.0,,606.0,28.0,1026.0,116.0,389.0,597.0,7.0,6.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,185.0,176.0,16.0,8.0,6.0,2000.0,2037.0,2042.0,2043.0,2034.0,2047.0,2048.0,2149.0,2215.0,885.0,932.0,961.0,1015.0,1033.0,886.0,886.0,449.0,496.0,547.0,537.0,550.0,563.0,571.0,628.0,634.0,1109.0,1108.0,1100.0,1067.0,1040.0,1007.0,984.0,990.0,1042.0,1026.0
Sainte-Anne (97180),/management/ville/sainte-anne/ville-97128,5912.0,2232.0,222.0,2010.0,1709.0,,1034.0,,1628.0,81.0,3120.0,325.0,1049.0,1901.0,11.0,41.0,75.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,608.0,571.0,78.0,16.0,25.0,5423.0,5471.0,5546.0,5643.0,5735.0,5742.0,5776.0,5842.0,5912.0,2239.0,2390.0,2564.0,2713.0,2773.0,2320.0,2232.0,1639.0,1713.0,1722.0,1775.0,1834.0,1851.0,1818.0,1778.0,1709.0,3325.0,3311.0,3242.0,3244.0,3216.0,3134.0,3106.0,3024.0,3070.0,3120.0
Vieux-Fort (97141),/management/ville/vieux-fort/ville-97133,418.0,172.0,14.0,158.0,90.0,,58.0,,97.0,7.0,198.0,22.0,64.0,121.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,42.0,7.0,6.0,,375.0,371.0,381.0,393.0,388.0,395.0,385.0,418.0,418.0,161.0,173.0,179.0,200.0,205.0,186.0,172.0,84.0,90.0,90.0,96.0,99.0,97.0,95.0,104.0,90.0,209.0,210.0,217.0,217.0,215.0,213.0,208.0,210.0,215.0,198.0
Vieux-Habitants (97119),/management/ville/vieux-habitants/ville-97134,2061.0,827.0,97.0,730.0,628.0,,440.0,,609.0,19.0,1050.0,111.0,456.0,723.0,4.0,12.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,171.0,166.0,10.0,7.0,6.0,1884.0,1889.0,1935.0,1902.0,1952.0,1961.0,1942.0,2010.0,2061.0,895.0,954.0,1017.0,1025.0,1022.0,818.0,827.0,545.0,554.0,584.0,530.0,596.0,592.0,595.0,579.0,628.0,1085.0,1076.0,1073.0,1033.0,1044.0,1045.0,1029.0,1005.0,1025.0,1050.0
