ville,lien,Salaire moyen des cadres,Salaire moyen des professions intermédiaires,Salaire moyen des employés,Salaire moyen des ouvriers,Salaire moyen des femmes,Salaire moyen des hommes,Salaire moyen des moins de 26 ans,Salaire moyen des 26-49 ans,Salaire moyen des 50 ans et plus,Revenu mensuel moyen par foyer fiscal,Nombre de foyers fiscaux,Nombre moyen d'habitant(s) par foyer,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pointe-Noire (97116),/management/ville/pointe-noire/ville-97121,2683.0,2120.0,1617.0,1333.0,1735.0,1915.0,1433.0,1750.0,1754.0,1036.0,4206.0,1.4,568.0,746.0,773.0,797.0,819.0,844.0,883.0,889.0,941.0,953.0,989.0,1007.0
Saint-Louis (97134),/management/ville/saint-louis/ville-97126,3469.0,1951.0,1481.0,1426.0,1649.0,1634.0,1157.0,1672.0,1738.0,946.0,1745.0,1.4,449.0,636.0,660.0,679.0,725.0,741.0,774.0,789.0,853.0,880.0,905.0,934.0
Saint-Claude (97120),/management/ville/saint-claude/ville-97124,3626.0,2425.0,1765.0,1524.0,2146.0,2329.0,1533.0,2135.0,2241.0,2171.0,6338.0,1.7,1417.0,1827.0,1838.0,1863.0,1867.0,1902.0,2004.0,2011.0,2063.0,2132.0,2086.0,2091.0
Sainte-Anne (97180),/management/ville/sainte-anne/ville-97128,3483.0,2456.0,1733.0,1586.0,2033.0,2230.0,1504.0,1982.0,2237.0,1513.0,14590.0,1.6,931.0,1190.0,1212.0,1234.0,1255.0,1293.0,1343.0,1379.0,1402.0,1396.0,1433.0,1446.0
Terre-de-Haut (97137),/management/ville/terre-de-haut/ville-97131,,,,,,,,,,1255.0,1076.0,1.4,757.0,971.0,956.0,1053.0,1002.0,1055.0,1127.0,1129.0,1149.0,1251.0,1241.0,1246.0
Terre-de-Bas (97136),/management/ville/terre-de-bas/ville-97130,,,,,,,,,,1038.0,587.0,1.7,577.0,797.0,803.0,840.0,849.0,835.0,905.0,886.0,961.0,999.0,993.0,1053.0
Sainte-Rose (97115),/management/ville/sainte-rose/ville-97129,3470.0,2409.0,1786.0,1534.0,2034.0,2200.0,1462.0,1962.0,2293.0,1351.0,11570.0,1.6,815.0,1065.0,1105.0,1141.0,1154.0,1176.0,1237.0,1202.0,1242.0,1248.0,1265.0,1276.0
Morne-à-l'Eau (97111),/management/ville/morne-a-l-eau/ville-97116,3651.0,2421.0,1731.0,1598.0,1974.0,2099.0,1485.0,1874.0,2261.0,1260.0,10656.0,1.6,747.0,997.0,1001.0,1021.0,1057.0,1078.0,1114.0,1144.0,1176.0,1180.0,1182.0,1224.0
Vieux-Fort (97141),/management/ville/vieux-fort/ville-97133,,,,,,,,,,1707.0,1113.0,1.7,1058.0,1325.0,1415.0,1405.0,1448.0,1504.0,1548.0,1581.0,1646.0,1668.0,1619.0,1631.0
Grand-Bourg (97112),/management/ville/grand-bourg/ville-97112,3157.0,2297.0,1609.0,1623.0,1855.0,1944.0,1394.0,1729.0,2151.0,1217.0,3662.0,1.3,665.0,879.0,905.0,917.0,983.0,1020.0,1052.0,1088.0,1129.0,1136.0,1151.0,1217.0
Trois-Rivières (97114),/management/ville/trois-rivieres/ville-97132,3161.0,2428.0,1718.0,1394.0,2007.0,2193.0,1505.0,1983.0,2101.0,1452.0,5673.0,1.4,859.0,1118.0,1223.0,1192.0,1225.0,1268.0,1304.0,1335.0,1355.0,1413.0,1410.0,1422.0
Vieux-Habitants (97119),/management/ville/vieux-habitants/ville-97134,3553.0,2273.0,1621.0,1434.0,1787.0,1979.0,1541.0,1789.0,1826.0,1117.0,5074.0,1.4,655.0,846.0,869.0,872.0,902.0,938.0,959.0,982.0,1016.0,1035.0,1058.0,1085.0
